"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 07 19:18:58 COT 2021","Mon Jun 07 19:18:59 COT 2021","1195","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Mon Jun 07 19:18:55 COT 2021","Mon Jun 07 19:18:57 COT 2021","1334","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Mon Jun 07 19:19:00 COT 2021","Mon Jun 07 19:19:00 COT 2021","387","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Mon Jun 07 19:18:57 COT 2021","Mon Jun 07 19:18:58 COT 2021","1334","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Mon Jun 07 19:19:00 COT 2021","Mon Jun 07 19:19:02 COT 2021","2349","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Mon Jun 07 19:18:49 COT 2021","Mon Jun 07 19:18:50 COT 2021","683","","Actions","","","",".blur() - blur off a DOM element",""
"passed","Mon Jun 07 19:18:55 COT 2021","Mon Jun 07 19:18:55 COT 2021","450","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Mon Jun 07 19:18:59 COT 2021","Mon Jun 07 19:19:00 COT 2021","367","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Mon Jun 07 19:18:51 COT 2021","Mon Jun 07 19:18:54 COT 2021","2778","","Actions","","","",".click() - click on a DOM element",""
"passed","Mon Jun 07 19:18:51 COT 2021","Mon Jun 07 19:18:51 COT 2021","623","","Actions","","","",".submit() - submit a form",""
"passed","Mon Jun 07 19:18:50 COT 2021","Mon Jun 07 19:18:51 COT 2021","860","","Actions","","","",".clear() - clears an input or textarea element",""
"passed","Mon Jun 07 19:18:48 COT 2021","Mon Jun 07 19:18:49 COT 2021","969","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Mon Jun 07 19:18:54 COT 2021","Mon Jun 07 19:18:55 COT 2021","589","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Mon Jun 07 19:18:42 COT 2021","Mon Jun 07 19:18:48 COT 2021","5885","","Actions","","","",".type() - type into a DOM element",""
